Placa,Tipo,Servicio,Ubicacion_Inscripcion
JAL53R,Moto,Motocicleta,COLOMBIA
BEM97Z,Moto,Motocicleta,COLOMBIA
GXY100,Carro,Oficial,CUCUTA
UAP94I,Moto,Motocicleta,COLOMBIA
GYQ72T,Moto,Motocicleta,COLOMBIA
TXZ24I,Moto,Motocicleta,COLOMBIA
CAN08G,Moto,Motocicleta,COLOMBIA
JBW330,Carro,Oficial,TUNJA
AGC679,Carro,Publico,MEDELLIN
EPI59G,Moto,Motocicleta,COLOMBIA
BPB179,Carro,Oficial,MEDELLIN
KGN442,Carro,Particular,CALI
PEF46Z,Moto,Motocicleta,COLOMBIA
ZAN32C,Moto,Motocicleta,COLOMBIA
JEQ473,Carro,Oficial,MANIZALES
VNK61N,Moto,Motocicleta,COLOMBIA
SJV359,Carro,Oficial,CUCUTA
BJI968,Carro,Particular,CALI
SVQ75L,Moto,Motocicleta,COLOMBIA
YKY541,Carro,Particular,BUCARAMANGA
CSU12D,Moto,Motocicleta,COLOMBIA
NKH519,Carro,Particular,MANIZALES
YPG237,Carro,Publico,ENVIGADO
SGL24C,Moto,Motocicleta,COLOMBIA
RNQ00J,Moto,Motocicleta,COLOMBIA
NAG127,Carro,Particular,BARRANQUILLA
DQX39J,Moto,Motocicleta,COLOMBIA
PRY19J,Moto,Motocicleta,COLOMBIA
VZJ328,Carro,Oficial,PEREIRA
JFQ70R,Moto,Motocicleta,COLOMBIA
SJG58P,Moto,Motocicleta,COLOMBIA
HRU003,Carro,Publico,TUNJA
RHM41U,Moto,Motocicleta,COLOMBIA
GSA124,Carro,Particular,ENVIGADO
QDQ70H,Moto,Motocicleta,COLOMBIA
NKD819,Carro,Oficial,TUNJA
JEZ978,Carro,Publico,MANIZALES
FXZ691,Carro,Particular,MEDELLIN
URP85M,Moto,Motocicleta,COLOMBIA
ZIM010,Carro,Oficial,TUNJA
WPE851,Carro,Particular,PASTO
BXM061,Carro,Particular,BARRANQUILLA
BAJ71S,Moto,Motocicleta,COLOMBIA
LSK862,Carro,Particular,PEREIRA
IHR55X,Moto,Motocicleta,COLOMBIA
IUX25G,Moto,Motocicleta,COLOMBIA
YJM245,Carro,Publico,TUNJA
JGX26M,Moto,Motocicleta,COLOMBIA
HYM75Y,Moto,Motocicleta,COLOMBIA
TNE82R,Moto,Motocicleta,COLOMBIA
KBW23X,Moto,Motocicleta,COLOMBIA
CSW499,Carro,Publico,CALI
MHD976,Carro,Oficial,BUCARAMANGA
GIF198,Carro,Publico,CALI
VYU87U,Moto,Motocicleta,COLOMBIA
QRW59Q,Moto,Motocicleta,COLOMBIA
KLD52D,Moto,Motocicleta,COLOMBIA
RFS437,Carro,Publico,CALI
QIP58E,Moto,Motocicleta,COLOMBIA
FGN33E,Moto,Motocicleta,COLOMBIA
KCU03Q,Moto,Motocicleta,COLOMBIA
KCT15H,Moto,Motocicleta,COLOMBIA
MIX84P,Moto,Motocicleta,COLOMBIA
BBG291,Carro,Particular,PASTO
WEY40B,Moto,Motocicleta,COLOMBIA
BLB683,Carro,Particular,CUCUTA
VZB608,Carro,Publico,ENVIGADO
MBU854,Carro,Publico,BOGOTA D.C.
AEE485,Carro,Publico,BOGOTA D.C.
WQS89V,Moto,Motocicleta,COLOMBIA
SHM96R,Moto,Motocicleta,COLOMBIA
JTJ26F,Moto,Motocicleta,COLOMBIA
ABC19S,Moto,Motocicleta,COLOMBIA
BHH795,Carro,Publico,MEDELLIN
ELG53V,Moto,Motocicleta,COLOMBIA
NXJ382,Carro,Particular,BUCARAMANGA
AGY62C,Moto,Motocicleta,COLOMBIA
QRD917,Carro,Publico,CUCUTA
IGG467,Carro,Publico,MEDELLIN
NES349,Carro,Publico,ENVIGADO
FGN95H,Moto,Motocicleta,COLOMBIA
UYA39S,Moto,Motocicleta,COLOMBIA
NVS61V,Moto,Motocicleta,COLOMBIA
UHX89A,Moto,Motocicleta,COLOMBIA
TDV442,Carro,Oficial,MANIZALES
EBY121,Carro,Publico,IBAGUE
BGH25W,Moto,Motocicleta,COLOMBIA
HYX419,Carro,Particular,MANIZALES
FFB93C,Moto,Motocicleta,COLOMBIA
FHK76D,Moto,Motocicleta,COLOMBIA
XWB56F,Moto,Motocicleta,COLOMBIA
QQG92L,Moto,Motocicleta,COLOMBIA
UAW82Z,Moto,Motocicleta,COLOMBIA
YBE586,Carro,Oficial,MEDELLIN
ZQJ116,Carro,Particular,CUCUTA
DDW56N,Moto,Motocicleta,COLOMBIA
KTX16U,Moto,Motocicleta,COLOMBIA
HIE759,Carro,Oficial,BUCARAMANGA
WEW42I,Moto,Motocicleta,COLOMBIA
XBI221,Carro,Publico,CALI
SKA85C,Moto,Motocicleta,COLOMBIA
DST446,Carro,Particular,ENVIGADO
SFU869,Carro,Particular,IBAGUE
JRC517,Carro,Oficial,ENVIGADO
XPN075,Carro,Particular,CUCUTA
SPC873,Carro,Particular,BOGOTA D.C.
IPK81I,Moto,Motocicleta,COLOMBIA
NXY384,Carro,Oficial,PASTO
EVB379,Carro,Particular,CUCUTA
PBR78C,Moto,Motocicleta,COLOMBIA
LNR85V,Moto,Motocicleta,COLOMBIA
MZG39U,Moto,Motocicleta,COLOMBIA
BMB898,Carro,Particular,BUCARAMANGA
WNY350,Carro,Particular,PASTO
IGR855,Carro,Publico,MEDELLIN
MKS931,Carro,Oficial,PEREIRA
AVJ794,Carro,Oficial,MANIZALES
IXJ68T,Moto,Motocicleta,COLOMBIA
JTF82H,Moto,Motocicleta,COLOMBIA
LJM003,Carro,Particular,BARRANQUILLA
VCT47W,Moto,Motocicleta,COLOMBIA
NEK124,Carro,Publico,BUCARAMANGA
LCG86T,Moto,Motocicleta,COLOMBIA
JWC63Z,Moto,Motocicleta,COLOMBIA
QVK437,Carro,Particular,MEDELLIN
UAY37C,Moto,Motocicleta,COLOMBIA
SEW00U,Moto,Motocicleta,COLOMBIA
CIH07R,Moto,Motocicleta,COLOMBIA
XWR150,Carro,Particular,PEREIRA
XAT001,Carro,Oficial,BARRANQUILLA
QUY03B,Moto,Motocicleta,COLOMBIA
VTF07N,Moto,Motocicleta,COLOMBIA
MGB364,Carro,Publico,BARRANQUILLA
FJF128,Carro,Publico,BOGOTA D.C.
GTM85H,Moto,Motocicleta,COLOMBIA
XJD080,Carro,Particular,TUNJA
VBC61X,Moto,Motocicleta,COLOMBIA
ZSP520,Carro,Oficial,BUCARAMANGA
EDU93W,Moto,Motocicleta,COLOMBIA
JFU54A,Moto,Motocicleta,COLOMBIA
SPA70Q,Moto,Motocicleta,COLOMBIA
NCJ05A,Moto,Motocicleta,COLOMBIA
GYI865,Carro,Particular,MEDELLIN
WAA15U,Moto,Motocicleta,COLOMBIA
QHB04Z,Moto,Motocicleta,COLOMBIA
NUH678,Carro,Publico,BOGOTA D.C.
NAS26H,Moto,Motocicleta,COLOMBIA
KWX336,Carro,Particular,BARRANQUILLA
GSB36S,Moto,Motocicleta,COLOMBIA
FUC36A,Moto,Motocicleta,COLOMBIA
FUU41G,Moto,Motocicleta,COLOMBIA
UEE76S,Moto,Motocicleta,COLOMBIA
HYH39H,Moto,Motocicleta,COLOMBIA
ZNY26G,Moto,Motocicleta,COLOMBIA
TNX88N,Moto,Motocicleta,COLOMBIA
GHE32L,Moto,Motocicleta,COLOMBIA
YXD851,Carro,Oficial,IBAGUE
EDG64D,Moto,Motocicleta,COLOMBIA
CKM104,Carro,Publico,CALI
IMP92M,Moto,Motocicleta,COLOMBIA
AXM66P,Moto,Motocicleta,COLOMBIA
QNW06Y,Moto,Motocicleta,COLOMBIA
HJB933,Carro,Particular,CALI
PEQ495,Carro,Publico,PEREIRA
RBY95Y,Moto,Motocicleta,COLOMBIA
NRF205,Carro,Oficial,CALI
NWJ56P,Moto,Motocicleta,COLOMBIA
WPP89H,Moto,Motocicleta,COLOMBIA
JJD977,Carro,Publico,CALI
ZRY148,Carro,Particular,TUNJA
LPE720,Carro,Publico,TUNJA
JLV30V,Moto,Motocicleta,COLOMBIA
LNB47W,Moto,Motocicleta,COLOMBIA
PXZ770,Carro,Publico,MEDELLIN
ZLV090,Carro,Particular,BUCARAMANGA
UZB187,Carro,Oficial,CALI
EZI00X,Moto,Motocicleta,COLOMBIA
UHL59E,Moto,Motocicleta,COLOMBIA
XSD89S,Moto,Motocicleta,COLOMBIA
IKE63P,Moto,Motocicleta,COLOMBIA
NTM81L,Moto,Motocicleta,COLOMBIA
MML950,Carro,Oficial,BOGOTA D.C.
MQR041,Carro,Oficial,MEDELLIN
BNA372,Carro,Publico,BOGOTA D.C.
GDP891,Carro,Particular,BOGOTA D.C.
HAD099,Carro,Particular,MANIZALES
DTG851,Carro,Particular,IBAGUE
JRI14L,Moto,Motocicleta,COLOMBIA
DMW852,Carro,Publico,CUCUTA
QTF501,Carro,Oficial,BARRANQUILLA
VZJ551,Carro,Publico,BARRANQUILLA
GTS344,Carro,Publico,PEREIRA
CXT48C,Moto,Motocicleta,COLOMBIA
AXN72Q,Moto,Motocicleta,COLOMBIA
HXC28K,Moto,Motocicleta,COLOMBIA
WSE14V,Moto,Motocicleta,COLOMBIA
QQW90K,Moto,Motocicleta,COLOMBIA
UIM041,Carro,Particular,BUCARAMANGA
EEG72D,Moto,Motocicleta,COLOMBIA
PQG307,Carro,Oficial,PASTO
RMG33D,Moto,Motocicleta,COLOMBIA
FTU12R,Moto,Motocicleta,COLOMBIA
HWU97X,Moto,Motocicleta,COLOMBIA
YII513,Carro,Oficial,MEDELLIN
TAW98Z,Moto,Motocicleta,COLOMBIA
WIT13Y,Moto,Motocicleta,COLOMBIA
ZHS673,Carro,Publico,CALI
WUZ457,Carro,Oficial,BARRANQUILLA
YQY03X,Moto,Motocicleta,COLOMBIA
UCC085,Carro,Particular,MANIZALES
IXA859,Carro,Publico,CUCUTA
QJX006,Carro,Oficial,IBAGUE
BQS56P,Moto,Motocicleta,COLOMBIA
JPA549,Carro,Oficial,CUCUTA
ZBH08L,Moto,Motocicleta,COLOMBIA
SPZ70X,Moto,Motocicleta,COLOMBIA
TND342,Carro,Publico,BARRANQUILLA
WRJ554,Carro,Publico,MANIZALES
DZT544,Carro,Oficial,CALI
BRV06M,Moto,Motocicleta,COLOMBIA
CLI173,Carro,Publico,BUCARAMANGA
UEX683,Carro,Publico,CUCUTA
GHX40Q,Moto,Motocicleta,COLOMBIA
RRH48T,Moto,Motocicleta,COLOMBIA
MSK73T,Moto,Motocicleta,COLOMBIA
SHR16A,Moto,Motocicleta,COLOMBIA
PDW805,Carro,Oficial,BUCARAMANGA
PDY42L,Moto,Motocicleta,COLOMBIA
SYL118,Carro,Publico,MEDELLIN
FKV932,Carro,Oficial,IBAGUE
VYJ04I,Moto,Motocicleta,COLOMBIA
ENX616,Carro,Publico,BARRANQUILLA
HXT538,Carro,Particular,TUNJA
IQX03H,Moto,Motocicleta,COLOMBIA
UGT461,Carro,Publico,CALI
MRZ61E,Moto,Motocicleta,COLOMBIA
AVX726,Carro,Oficial,TUNJA
UNG04U,Moto,Motocicleta,COLOMBIA
BTL15Y,Moto,Motocicleta,COLOMBIA
MEY823,Carro,Particular,TUNJA
QRS781,Carro,Particular,TUNJA
VJJ88J,Moto,Motocicleta,COLOMBIA
EHX96W,Moto,Motocicleta,COLOMBIA
VZY954,Carro,Publico,ENVIGADO
JPI193,Carro,Oficial,CALI
ACU20I,Moto,Motocicleta,COLOMBIA
CCF442,Carro,Oficial,BARRANQUILLA
WCW79J,Moto,Motocicleta,COLOMBIA
GHU266,Carro,Particular,ENVIGADO
MXY61K,Moto,Motocicleta,COLOMBIA
KGM43V,Moto,Motocicleta,COLOMBIA
SQP18X,Moto,Motocicleta,COLOMBIA
ZBJ43U,Moto,Motocicleta,COLOMBIA
FPR712,Carro,Publico,MANIZALES
JRJ584,Carro,Particular,BARRANQUILLA
THP56W,Moto,Motocicleta,COLOMBIA
RQC86D,Moto,Motocicleta,COLOMBIA
LCB391,Carro,Oficial,ENVIGADO
ELZ857,Carro,Publico,ENVIGADO
UKE35N,Moto,Motocicleta,COLOMBIA
ATB058,Carro,Publico,CALI
QHG463,Carro,Particular,CUCUTA
ZKI80F,Moto,Motocicleta,COLOMBIA
YZD00I,Moto,Motocicleta,COLOMBIA
ZRW780,Carro,Publico,MANIZALES
ETA708,Carro,Oficial,ENVIGADO
NQM13I,Moto,Motocicleta,COLOMBIA
CAF90E,Moto,Motocicleta,COLOMBIA
EUE767,Carro,Particular,MEDELLIN
KNV70S,Moto,Motocicleta,COLOMBIA
BRK34E,Moto,Motocicleta,COLOMBIA
SJW989,Carro,Particular,CUCUTA
TXK642,Carro,Oficial,CUCUTA
AFG336,Carro,Oficial,MANIZALES
KAH154,Carro,Particular,CUCUTA
PJW474,Carro,Oficial,TUNJA
XFR07K,Moto,Motocicleta,COLOMBIA
NSG29T,Moto,Motocicleta,COLOMBIA
UQC00B,Moto,Motocicleta,COLOMBIA
FHN357,Carro,Publico,MANIZALES
KRE296,Carro,Particular,BARRANQUILLA
HDD35N,Moto,Motocicleta,COLOMBIA
DPE371,Carro,Publico,BUCARAMANGA
NAK874,Carro,Particular,MEDELLIN
TGU706,Carro,Particular,BARRANQUILLA
IUK899,Carro,Publico,TUNJA
AIB08X,Moto,Motocicleta,COLOMBIA
BHB47D,Moto,Motocicleta,COLOMBIA
HKM489,Carro,Publico,BUCARAMANGA
ALC64M,Moto,Motocicleta,COLOMBIA
KPP759,Carro,Particular,MANIZALES
IIW06W,Moto,Motocicleta,COLOMBIA
NLR446,Carro,Publico,PASTO
WPT870,Carro,Oficial,IBAGUE
UTJ88V,Moto,Motocicleta,COLOMBIA
SDV676,Carro,Particular,ENVIGADO
MBF88A,Moto,Motocicleta,COLOMBIA
RNZ389,Carro,Publico,MANIZALES
AWQ68A,Moto,Motocicleta,COLOMBIA
XWY455,Carro,Publico,MEDELLIN
UBS09F,Moto,Motocicleta,COLOMBIA
ERV644,Carro,Particular,CALI
CJY52M,Moto,Motocicleta,COLOMBIA
BIS70K,Moto,Motocicleta,COLOMBIA
TZD546,Carro,Oficial,BOGOTA D.C.
CJZ149,Carro,Publico,BARRANQUILLA
VWZ71P,Moto,Motocicleta,COLOMBIA
CRY56V,Moto,Motocicleta,COLOMBIA
CRL471,Carro,Publico,MEDELLIN
BHD88V,Moto,Motocicleta,COLOMBIA
BUC86F,Moto,Motocicleta,COLOMBIA
DUA98N,Moto,Motocicleta,COLOMBIA
MCE75I,Moto,Motocicleta,COLOMBIA
EHN271,Carro,Publico,PASTO
FDZ813,Carro,Publico,MANIZALES
TCJ561,Carro,Publico,CUCUTA
PIL95F,Moto,Motocicleta,COLOMBIA
QNE43A,Moto,Motocicleta,COLOMBIA
ZGJ50B,Moto,Motocicleta,COLOMBIA
PCR363,Carro,Particular,CUCUTA
WAR24S,Moto,Motocicleta,COLOMBIA
NFL501,Carro,Particular,BOGOTA D.C.
CCH271,Carro,Oficial,BUCARAMANGA
PCJ432,Carro,Publico,CALI
FFY675,Carro,Publico,IBAGUE
SKD13V,Moto,Motocicleta,COLOMBIA
JAV144,Carro,Particular,BUCARAMANGA
JWD626,Carro,Publico,BUCARAMANGA
RGD29Q,Moto,Motocicleta,COLOMBIA
ZYL08R,Moto,Motocicleta,COLOMBIA
VIB270,Carro,Particular,BUCARAMANGA
TQX79K,Moto,Motocicleta,COLOMBIA
HQE48A,Moto,Motocicleta,COLOMBIA
KDM355,Carro,Publico,MANIZALES
ELX72B,Moto,Motocicleta,COLOMBIA
HQC83S,Moto,Motocicleta,COLOMBIA
XBP85L,Moto,Motocicleta,COLOMBIA
EIK94A,Moto,Motocicleta,COLOMBIA
ZUL062,Carro,Publico,PEREIRA
FHY378,Carro,Particular,PEREIRA
UPN72I,Moto,Motocicleta,COLOMBIA
QWA78U,Moto,Motocicleta,COLOMBIA
IST46G,Moto,Motocicleta,COLOMBIA
IBU992,Carro,Particular,MANIZALES
PFJ36N,Moto,Motocicleta,COLOMBIA
NQI522,Carro,Particular,IBAGUE
DPB671,Carro,Publico,BARRANQUILLA
XAD906,Carro,Particular,BUCARAMANGA
MBS166,Carro,Particular,TUNJA
WYJ021,Carro,Particular,MEDELLIN
BXQ000,Carro,Oficial,CALI
GTL501,Carro,Oficial,BUCARAMANGA
XEI87X,Moto,Motocicleta,COLOMBIA
AMX953,Carro,Oficial,ENVIGADO
TLF055,Carro,Particular,CALI
MVH673,Carro,Publico,BUCARAMANGA
ALQ61X,Moto,Motocicleta,COLOMBIA
KVR74Q,Moto,Motocicleta,COLOMBIA
NXT895,Carro,Oficial,CALI
CHK48E,Moto,Motocicleta,COLOMBIA
VDJ762,Carro,Publico,TUNJA
XTJ264,Carro,Particular,PASTO
JYE597,Carro,Particular,PASTO
XHF97C,Moto,Motocicleta,COLOMBIA
ZHJ201,Carro,Particular,MANIZALES
JSU44S,Moto,Motocicleta,COLOMBIA
TKJ83Y,Moto,Motocicleta,COLOMBIA
QLM095,Carro,Oficial,BARRANQUILLA
UVP58B,Moto,Motocicleta,COLOMBIA
VSJ85K,Moto,Motocicleta,COLOMBIA
MJB063,Carro,Publico,ENVIGADO
NGK072,Carro,Particular,MANIZALES
DRA519,Carro,Particular,PASTO
XMH328,Carro,Particular,ENVIGADO
EZE436,Carro,Particular,BARRANQUILLA
FLV817,Carro,Particular,MEDELLIN
IMU31Q,Moto,Motocicleta,COLOMBIA
WMZ321,Carro,Oficial,PASTO
TNB69X,Moto,Motocicleta,COLOMBIA
FBS73L,Moto,Motocicleta,COLOMBIA
BTB366,Carro,Oficial,CUCUTA
MPS52D,Moto,Motocicleta,COLOMBIA
UWJ67C,Moto,Motocicleta,COLOMBIA
UGY86N,Moto,Motocicleta,COLOMBIA
IRB278,Carro,Oficial,PEREIRA
EAG01R,Moto,Motocicleta,COLOMBIA
VEY546,Carro,Publico,ENVIGADO
WKB12V,Moto,Motocicleta,COLOMBIA
TDX95L,Moto,Motocicleta,COLOMBIA
TXJ441,Carro,Particular,PASTO
DPR972,Carro,Publico,CALI
SLY48E,Moto,Motocicleta,COLOMBIA
YHW323,Carro,Particular,BOGOTA D.C.
CIY09L,Moto,Motocicleta,COLOMBIA
HBU799,Carro,Oficial,BUCARAMANGA
ZBI720,Carro,Particular,MEDELLIN
MLC74D,Moto,Motocicleta,COLOMBIA
SKT258,Carro,Particular,MANIZALES
